Matrix_Size,Avg_Final_Residual,Avg_Cosine_Distance
10,0.00538375,0.01096875
50,0.00830675,0.0245
100,0.00644075,0.026671
500,0.00092125,0.010202
1000,0.0017677500000000002,0.023021249999999997
